"country","country_code","language","n_tweets"
"Albania","AL","ar",1
"Albania","AL","en",21
"Albania","AL","et",11
"Albania","AL","fr",2
"Albania","AL","in",1
"Albania","AL","it",1
"Albania","AL","nl",2
"Albania","AL","pl",1
"Albania","AL","pt",1
"Albania","AL","tr",1
"Andorra","AD","ca",5
"Andorra","AD","en",1
"Andorra","AD","es",8
"Andorra","AD","fr",1
"Austria","AT","ar",6
"Austria","AT","ca",1
"Austria","AT","cs",2
"Austria","AT","cy",2
"Austria","AT","da",2
"Austria","AT","de",243
"Austria","AT","el",3
"Austria","AT","en",140
"Austria","AT","es",15
"Austria","AT","et",4
"Austria","AT","fa",6
"Austria","AT","fi",1
"Austria","AT","fr",2
"Austria","AT","hu",1
"Austria","AT","in",3
"Austria","AT","ja",5
"Austria","AT","lt",2
"Austria","AT","nl",2
"Austria","AT","no",2
"Austria","AT","pt",2
"Austria","AT","ru",4
"Austria","AT","sl",5
"Austria","AT","sr",2
"Austria","AT","sv",2
"Austria","AT","th",1
"Austria","AT","tl",3
"Austria","AT","tr",31
"Belarus","BY","da",1
"Belarus","BY","en",4
"Belarus","BY","pl",2
"Belarus","BY","ru",181
"Belarus","BY","sr",1
"Belarus","BY","sv",1
"Belarus","BY","tr",2
"Belarus","BY","uk",6
"Belgium","BE","ar",19
"Belgium","BE","bg",1
"Belgium","BE","cs",2
"Belgium","BE","cy",1
"Belgium","BE","da",2
"Belgium","BE","de",8
"Belgium","BE","en",233
"Belgium","BE","es",30
"Belgium","BE","et",4
"Belgium","BE","fa",2
"Belgium","BE","fi",1
"Belgium","BE","fr",237
"Belgium","BE","ht",1
"Belgium","BE","in",5
"Belgium","BE","it",7
"Belgium","BE","ja",1
"Belgium","BE","lv",1
"Belgium","BE","nl",398
"Belgium","BE","no",3
"Belgium","BE","pl",18
"Belgium","BE","pt",13
"Belgium","BE","ro",1
"Belgium","BE","ru",2
"Belgium","BE","sl",2
"Belgium","BE","tl",3
"Belgium","BE","tr",25
"Belgium","BE","uk",2
"Bosnia and Herzegovina","BA","ar",1
"Bosnia and Herzegovina","BA","cs",3
"Bosnia and Herzegovina","BA","en",24
"Bosnia and Herzegovina","BA","es",12
"Bosnia and Herzegovina","BA","eu",1
"Bosnia and Herzegovina","BA","fi",1
"Bosnia and Herzegovina","BA","fr",1
"Bosnia and Herzegovina","BA","ht",1
"Bosnia and Herzegovina","BA","in",1
"Bosnia and Herzegovina","BA","is",1
"Bosnia and Herzegovina","BA","it",34
"Bosnia and Herzegovina","BA","lt",1
"Bosnia and Herzegovina","BA","no",1
"Bosnia and Herzegovina","BA","pl",4
"Bosnia and Herzegovina","BA","pt",11
"Bosnia and Herzegovina","BA","ru",3
"Bosnia and Herzegovina","BA","sl",7
"Bosnia and Herzegovina","BA","sr",17
"Bosnia and Herzegovina","BA","sv",2
"Bosnia and Herzegovina","BA","tl",3
"Bosnia and Herzegovina","BA","tr",3
"Bosnia and Herzegovina","BA","uk",1
